,station,location,state,do,ph,co,bod,na,tc,water_quality_index
1149,1456,"RUSHIKULYA AT GANJAM D/S, ",NAN,6.8,7.8,23761.0,1.9,0.67,460.0,2869.0600000000004
1150,1642,"NAGAVALLI AT JAYKAYPUR D/S, ",NAN,7.5,8.1,228.0,2.1,0.4,5850.0,2863.8
1151,1643,"NAGAVALLI AT RAYAGADA D/S, ",NAN,7.7,8.1,243.0,1.6,0.71,4450.0,2863.8
1152,2422,"PENTA U/S, JAYKAYPUR TOWN",NAN,7.6,7.9,191.0,1.4,0.13,1985.0,2863.98
1153,2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",NAN,7.5,7.9,237.0,1.8,0.45,2425.0,2863.8
1154,2424,BUDHABALANGA AT BALASORE D/S,NAN,7.4,7.7,865.0,1.9,0.3,2675.0,2863.44
1155,2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",NAN,6.7,6.9,132.0,1.2,0.32,1823.0,2860.96
1156,2426,MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),NAN,7.1,7.9,211.0,1.4,0.48,2098.0,2863.98
1157,2427,GUNUPUR (INTERSTATE BOUNDRY),NAN,6.7,7.9,182.0,1.1,0.24,1510.0,2863.98
1158,2442,GAUTAMINANGODAVARI RIVER,NAN,7.4,8.8,434.0,2.0,0.05,,2845.8
1159,2443,GAUTAMINANGODAVARI RIVER,NAN,6.4,8.3,565.0,2.0,0.05,,2852.2000000000007
1160,2444,CORINGA RIVER,NAN,6.9,8.8,238.0,4.0,0.05,,2841.48
1161,2445,MAHE RIVER,NAN,6.3,6.6,425.0,,,,2816.4
1162,1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,NAN,7.4,7.0,75.0,1.6,0.05,118.0,2869.9600000000005
1163,1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",NAN,7.2,6.8,70.0,1.8,0.09,148.0,2866.760000000001
1164,1161,"TAMBIRAPARANI AT TIRUNELVELI, COLLECTORATE.",NAN,6.6,7.0,119.0,2.5,0.33,374.0,2869.78
1165,1162,TAMBIRAPARANI AT MURAPPANADU,NAN,6.9,7.0,236.0,1.9,0.25,157.0,2869.4200000000005
1166,1328,TAMBIRAPARANI AT PAPPANKULAM,NAN,7.0,6.9,73.0,1.7,0.4,144.0,2866.760000000001
1167,1329,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,NAN,7.2,6.9,75.0,1.5,0.2,128.0,2866.760000000001
1168,1330,TAMBIRAPARANI AT ARUMUGANERI,NAN,6.9,7.2,385.0,2.3,0.13,196.0,2869.0600000000004
1169,1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,NAN,6.4,7.6,860.0,3.3,0.4,379.0,2864.38
1170,3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",NAN,7.6,6.6,166.0,2.0,1.8,140.0,2860.0000000000005
1171,3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",NAN,6.9,7.2,308.0,1.9,0.49,170.0,2869.0600000000004
